['Acoustic Bass', 0, 'I', 0.0, 1, 30]
['Acoustic Bass', 0, 'V', 1.0, 1, 30]
['Acoustic Bass', 0, 'VI', 2.0, 1, 30]
['Acoustic Bass', 0, 'III', 3.0, 1, 30]
['Acoustic Bass', 0, 'IV', 4.0, 1, 30]
['Acoustic Bass', 0, 'I', 5.0, 1, 30]
['Acoustic Bass', 0, 'II', 6.0, 1, 30]
['Acoustic Bass', 0, 'V', 7.0, 1, 30]
['Acoustic Bass', 0, 'I', 8.0, 1, 30]
['Acoustic Bass', 0, 'V', 9.0, 1, 30]
['Acoustic Bass', 0, 'VI', 10.0, 1, 30]
['Acoustic Bass', 0, 'III', 11.0, 1, 30]
['Acoustic Bass', 0, 'IV', 12.0, 1, 30]
['Acoustic Bass', 0, 'I', 13.0, 1, 30]
['Acoustic Bass', 0, 'II', 14.0, 1, 30]
['Acoustic Bass', 0, 'V', 15.0, 1, 30]
['Acoustic Bass', 0, 'I', 16.0, 1, 30]
['Acoustic Bass', 0, 'V', 17.0, 1, 30]
['Acoustic Bass', 0, 'VI', 18.0, 1, 30]
['Acoustic Bass', 0, 'III', 19.0, 1, 30]
['Acoustic Bass', 0, 'IV', 20.0, 1, 30]
['Acoustic Bass', 0, 'I', 21.0, 1, 30]
['Acoustic Bass', 0, 'II', 22.0, 1, 30]
['Acoustic Bass', 0, 'V', 23.0, 1, 30]
['Acoustic Bass', 0, 'I', 24.0, 1, 30]
['Acoustic Bass', 0, 'V', 25.0, 1, 30]
['Acoustic Bass', 0, 'VI', 26.0, 1, 30]
['Acoustic Bass', 0, 'III', 27.0, 1, 30]
['Acoustic Bass', 0, 'IV', 28.0, 1, 30]
['Acoustic Bass', 0, 'I', 29.0, 1, 30]
['Acoustic Bass', 0, 'II', 30.0, 1, 30]
['Acoustic Bass', 0, 'V', 31.0, 1, 30]
['Acoustic Bass', 0, 'I', 32.0, 1, 30]
['Acoustic Bass', 0, 'V', 33.0, 1, 30]
['Acoustic Bass', 0, 'VI', 34.0, 1, 30]
['Acoustic Bass', 0, 'III', 35.0, 1, 30]
['Acoustic Bass', 0, 'IV', 36.0, 1, 30]
['Acoustic Bass', 0, 'I', 37.0, 1, 30]
['Acoustic Bass', 0, 'II', 38.0, 1, 30]
['Acoustic Bass', 0, 'V', 39.0, 1, 30]
['Acoustic Bass', 0, 'I', 40.0, 1, 30]
['Acoustic Bass', 0, 'V', 41.0, 1, 30]
['Acoustic Bass', 0, 'VI', 42.0, 1, 30]
['Acoustic Bass', 0, 'III', 43.0, 1, 30]
['Acoustic Bass', 0, 'IV', 44.0, 1, 30]
['Acoustic Bass', 0, 'I', 45.0, 1, 30]
['Acoustic Bass', 0, 'II', 46.0, 1, 30]
['Acoustic Bass', 0, 'V', 47.0, 1, 30]
['Acoustic Bass', 0, 'I', 48.0, 1, 30]
['Acoustic Bass', 0, 'V', 49.0, 1, 30]
['Acoustic Bass', 0, 'VI', 50.0, 1, 30]
['Acoustic Bass', 0, 'III', 51.0, 1, 30]
['Acoustic Bass', 0, 'IV', 52.0, 1, 30]
['Acoustic Bass', 0, 'I', 53.0, 1, 30]
['Acoustic Bass', 0, 'II', 54.0, 1, 30]
['Acoustic Bass', 0, 'V', 55.0, 1, 30]
['Acoustic Bass', 0, 'I', 56.0, 1, 30]
['Acoustic Bass', 0, 'V', 57.0, 1, 30]
['Acoustic Bass', 0, 'VI', 58.0, 1, 30]
['Acoustic Bass', 0, 'III', 59.0, 1, 30]
['Acoustic Bass', 0, 'IV', 60.0, 1, 30]
['Acoustic Bass', 0, 'I', 61.0, 1, 30]
['Acoustic Bass', 0, 'II', 62.0, 1, 30]
['Acoustic Bass', 0, 'V', 63.0, 1, 30]
['Acoustic Bass', 0, 'I', 64.0, 1, 30]
['Acoustic Bass', 0, 'V', 65.0, 1, 30]
['Acoustic Bass', 0, 'VI', 66.0, 1, 30]
['Acoustic Bass', 0, 'III', 67.0, 1, 30]
['Acoustic Bass', 0, 'IV', 68.0, 1, 30]
['Acoustic Bass', 0, 'I', 69.0, 1, 30]
['Acoustic Bass', 0, 'II', 70.0, 1, 30]
['Acoustic Bass', 0, 'V', 71.0, 1, 30]
['Acoustic Bass', 0, 'I', 72.0, 1, 30]
['Acoustic Bass', 0, 'V', 73.0, 1, 30]
['Acoustic Bass', 0, 'VI', 74.0, 1, 30]
['Acoustic Bass', 0, 'III', 75.0, 1, 30]
['Acoustic Bass', 0, 'IV', 76.0, 1, 30]
['Acoustic Bass', 0, 'I', 77.0, 1, 30]
['Acoustic Bass', 0, 'II', 78.0, 1, 30]
['Acoustic Bass', 0, 'V', 79.0, 1, 30]
['Acoustic Bass', 0, 'I', 80.0, 1, 30]
['Acoustic Bass', 0, 'V', 81.0, 1, 30]
['Acoustic Bass', 0, 'VI', 82.0, 1, 30]
['Acoustic Bass', 0, 'III', 83.0, 1, 30]
